Processing ranked directory: run_repeated_ranks_seeds/lite_claude/all_repro_rerank_dd2eee14d967_seed2187185714
[matplotlib__matplotlib-23314] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-13230] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-13590] overlap 0/1: []
[django__django-14672] overlap 1/1: ['dedup_patch_0.jsonl']
[matplotlib__matplotlib-23299] overlap 0/1: []
[matplotlib__matplotlib-26011] overlap 0/1: []
[mwaskom__seaborn-2848] overlap 0/1: []
[django__django-11001] overlap 1/1: ['dedup_patch_22.jsonl']
[sphinx-doc__sphinx-8474] overlap 0/1: []
[matplotlib__matplotlib-24970] overlap 1/1: ['dedup_patch_4.jsonl']
[sympy__sympy-13915] overlap 0/1: []
[pylint-dev__pylint-7228] overlap 0/1: []
[django__django-14752] overlap 1/1: ['dedup_patch_22.jsonl']
[sympy__sympy-11400] overlap 0/1: []
[django__django-11630] overlap 0/1: []
[sympy__sympy-12419] overlap 0/1: []
[sympy__sympy-12171] overlap 0/1: []
[sympy__sympy-24066] overlap 0/1: []
[sphinx-doc__sphinx-8435] overlap 0/1: []
[django__django-16910] overlap 0/1: []
[pydata__xarray-4094] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-15996] overlap 0/1: []
[django__django-13768] overlap 0/1: []
[sympy__sympy-20049] overlap 0/1: []
[sphinx-doc__sphinx-8801] overlap 0/1: []
[sphinx-doc__sphinx-10451] overlap 0/1: []
[django__django-13033] overlap 1/1: ['dedup_patch_24.jsonl']
[django__django-13401] overlap 1/1: ['dedup_patch_23.jsonl']
[psf__requests-2674] overlap 0/1: []
[pylint-dev__pylint-7114] overlap 1/1: ['dedup_patch_19.jsonl']
[sympy__sympy-16503] overlap 0/1: []
[sympy__sympy-20322] overlap 0/1: []
[django__django-15347] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-15346] overlap 1/1: ['dedup_patch_24.jsonl']
[pallets__flask-5063] overlap 0/1: []
[sympy__sympy-18698] overlap 0/1: []
[matplotlib__matplotlib-26020] overlap 1/1: ['dedup_patch_14.jsonl']
[django__django-11283] overlap 0/1: []
[django__django-12184] overlap 1/1: ['dedup_patch_12.jsonl']
[django__django-16379] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-14534] overlap 1/1: ['dedup_patch_3.jsonl']
[sphinx-doc__sphinx-7975] overlap 0/1: []
[astropy__astropy-6938] overlap 0/1: []
[django__django-13265] overlap 0/1: []
[django__django-12497] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-15345] overlap 0/1: []
[pytest-dev__pytest-5413] overlap 0/1: []
[sphinx-doc__sphinx-8595] overlap 1/1: ['dedup_patch_1.jsonl']
[sympy__sympy-21055] overlap 1/1: ['dedup_patch_8.jsonl']
[pylint-dev__pylint-5859] overlap 1/1: ['dedup_patch_5.jsonl']
[sympy__sympy-19254] overlap 0/1: []
[django__django-13321] overlap 0/1: []
[matplotlib__matplotlib-18869] overlap 0/1: []
[pytest-dev__pytest-5221] overlap 0/1: []
[pytest-dev__pytest-5103] overlap 0/1: []
[matplotlib__matplotlib-24149] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-11422] overlap 1/1: ['dedup_patch_14.jsonl']
[pytest-dev__pytest-7490] overlap 1/1: ['dedup_patch_19.jsonl']
[django__django-13315] overlap 0/1: []
[django__django-12700] overlap 1/1: ['dedup_patch_13.jsonl']
[sphinx-doc__sphinx-8713] overlap 1/1: ['dedup_patch_0.jsonl']
[scikit-learn__scikit-learn-13496] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-16400] overlap 0/1: []
[sympy__sympy-11897] overlap 0/1: []
[sympy__sympy-24152] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-14017] overlap 1/1: ['dedup_patch_28.jsonl']
[django__django-16229] overlap 0/1: []
[django__django-15902] overlap 1/1: ['dedup_patch_0.jsonl']
[scikit-learn__scikit-learn-13779] overlap 1/1: ['dedup_patch_5.jsonl']
[django__django-15738] overlap 0/1: []
[django__django-16139] overlap 1/1: ['dedup_patch_0.jsonl']
[psf__requests-863] overlap 1/1: ['dedup_patch_16.jsonl']
[django__django-14997] overlap 0/1: []
[sympy__sympy-22840] overlap 0/1: []
[django__django-15695] overlap 0/1: []
[django__django-13551] overlap 0/1: []
[matplotlib__matplotlib-25433] overlap 0/1: []
[astropy__astropy-14182] overlap 0/1: []
[matplotlib__matplotlib-25079] overlap 0/1: []
[sympy__sympy-17655] overlap 1/1: ['dedup_patch_0.jsonl']
[matplotlib__matplotlib-23563] overlap 0/1: []
[django__django-13158] overlap 1/1: ['dedup_patch_0.jsonl']
[matplotlib__matplotlib-23913] overlap 1/1: ['dedup_patch_8.jsonl']
[pytest-dev__pytest-7168] overlap 0/1: []
[django__django-15851] overlap 1/1: ['dedup_patch_0.jsonl']
[scikit-learn__scikit-learn-25500] overlap 1/1: ['dedup_patch_28.jsonl']
[pydata__xarray-3364] overlap 0/1: []
[django__django-16527] overlap 1/1: ['dedup_patch_1.jsonl']
[sympy__sympy-14396] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-23191] overlap 0/1: []
[django__django-15400] overlap 0/1: []
[django__django-13220] overlap 0/1: []
[pydata__xarray-5131] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-21171] overlap 0/1: []
[sympy__sympy-17022] overlap 1/1: ['dedup_patch_2.jsonl']
[astropy__astropy-7746] overlap 0/1: []
[matplotlib__matplotlib-23562] overlap 1/1: ['dedup_patch_25.jsonl']
[matplotlib__matplotlib-23476] overlap 0/1: []
[django__django-15213] overlap 1/1: ['dedup_patch_21.jsonl']
[sympy__sympy-20154] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-13437] overlap 0/1: []
[django__django-12915] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-11848] overlap 0/1: []
[pylint-dev__pylint-7080] overlap 0/1: []
[pylint-dev__pylint-6506] overlap 0/1: []
[pytest-dev__pytest-8906] overlap 0/1: []
[django__django-15061] overlap 0/1: []
[scikit-learn__scikit-learn-13142] overlap 1/1: ['dedup_patch_24.jsonl']
[django__django-15202] overlap 0/1: []
[django__django-16595] overlap 1/1: ['dedup_patch_1.jsonl']
[sympy__sympy-14774] overlap 1/1: ['dedup_patch_0.jsonl']
[pytest-dev__pytest-5227] overlap 1/1: ['dedup_patch_0.jsonl']
[pallets__flask-4992] overlap 0/1: []
[django__django-16816] overlap 0/1: []
[pydata__xarray-4493] overlap 0/1: []
[django__django-16255] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-14238] overlap 1/1: ['dedup_patch_1.jsonl']
[astropy__astropy-14365] overlap 0/1: []
[pytest-dev__pytest-9359] overlap 0/1: []
[django__django-12453] overlap 0/1: []
[matplotlib__matplotlib-23987] overlap 0/1: []
[sympy__sympy-13773] overlap 0/1: []
[sympy__sympy-22005] overlap 0/1: []
[matplotlib__matplotlib-22711] overlap 0/1: []
[django__django-13028] overlap 1/1: ['dedup_patch_20.jsonl']
[pytest-dev__pytest-11143] overlap 1/1: ['dedup_patch_4.jsonl']
[sympy__sympy-20442] overlap 1/1: ['dedup_patch_32.jsonl']
[django__django-11797] overlap 0/1: []
[scikit-learn__scikit-learn-10949] overlap 0/1: []
[django__django-13925] overlap 0/1: []
[sphinx-doc__sphinx-8506] overlap 0/1: []
[django__django-11910] overlap 0/1: []
[django__django-14411] overlap 1/1: ['dedup_patch_7.jsonl']
[sympy__sympy-12236] overlap 0/1: []
[django__django-14855] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-14317] overlap 0/1: []
[pylint-dev__pylint-7993] overlap 1/1: ['dedup_patch_22.jsonl']
[sympy__sympy-21612] overlap 0/1: []
[sympy__sympy-21627] overlap 0/1: []
[sympy__sympy-21614] overlap 1/1: ['dedup_patch_4.jsonl']
[mwaskom__seaborn-3190] overlap 1/1: ['dedup_patch_30.jsonl']
[scikit-learn__scikit-learn-10297] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-14730] overlap 0/1: []
[sphinx-doc__sphinx-7738] overlap 0/1: []
[django__django-15498] overlap 0/1: []
[scikit-learn__scikit-learn-14092] overlap 1/1: ['dedup_patch_13.jsonl']
[django__django-13658] overlap 1/1: ['dedup_patch_0.jsonl']
[scikit-learn__scikit-learn-11281] overlap 1/1: ['dedup_patch_21.jsonl']
[matplotlib__matplotlib-25442] overlap 1/1: ['dedup_patch_10.jsonl']
[sympy__sympy-24213] overlap 1/1: ['dedup_patch_0.jsonl']
[scikit-learn__scikit-learn-13584] overlap 1/1: ['dedup_patch_4.jsonl']
[sympy__sympy-18189] overlap 1/1: ['dedup_patch_2.jsonl']
[sympy__sympy-16792] overlap 0/1: []
[django__django-12983] overlap 1/1: ['dedup_patch_6.jsonl']
[sympy__sympy-18057] overlap 1/1: ['dedup_patch_26.jsonl']
[matplotlib__matplotlib-24334] overlap 0/1: []
[sympy__sympy-18199] overlap 0/1: []
[sympy__sympy-20590] overlap 0/1: []
[astropy__astropy-14995] overlap 1/1: ['dedup_patch_23.jsonl']
[sympy__sympy-18532] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-21847] overlap 1/1: ['dedup_patch_10.jsonl']
[pytest-dev__pytest-7373] overlap 1/1: ['dedup_patch_6.jsonl']
[django__django-14787] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-11564] overlap 0/1: []
[sympy__sympy-16106] overlap 0/1: []
[django__django-14382] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-13964] overlap 1/1: ['dedup_patch_7.jsonl']
[django__django-10914] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-15819] overlap 0/1: []
[django__django-14580] overlap 0/1: []
[sympy__sympy-20212] overlap 1/1: ['dedup_patch_0.jsonl']
[astropy__astropy-12907] overlap 0/1: []
[sympy__sympy-18835] overlap 0/1: []
[sympy__sympy-13043] overlap 0/1: []
[django__django-12125] overlap 0/1: []
[django__django-16873] overlap 1/1: ['dedup_patch_0.jsonl']
[sphinx-doc__sphinx-8627] overlap 0/1: []
[sympy__sympy-19007] overlap 0/1: []
[pytest-dev__pytest-5692] overlap 1/1: ['dedup_patch_1.jsonl']
[sphinx-doc__sphinx-8273] overlap 0/1: []
[django__django-16046] overlap 1/1: ['dedup_patch_12.jsonl']
[django__django-13710] overlap 1/1: ['dedup_patch_10.jsonl']
[sympy__sympy-13471] overlap 1/1: ['dedup_patch_10.jsonl']
[django__django-11133] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-14915] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-14999] overlap 0/1: []
[django__django-15252] overlap 0/1: []
[sympy__sympy-16988] overlap 0/1: []
[django__django-12286] overlap 1/1: ['dedup_patch_13.jsonl']
[scikit-learn__scikit-learn-14087] overlap 0/1: []
[pytest-dev__pytest-7432] overlap 1/1: ['dedup_patch_6.jsonl']
[django__django-12284] overlap 1/1: ['dedup_patch_14.jsonl']
[sphinx-doc__sphinx-8721] overlap 1/1: ['dedup_patch_10.jsonl']
[scikit-learn__scikit-learn-12471] overlap 1/1: ['dedup_patch_8.jsonl']
[django__django-14667] overlap 0/1: []
[django__django-13757] overlap 1/1: ['dedup_patch_31.jsonl']
[sympy__sympy-17139] overlap 1/1: ['dedup_patch_10.jsonl']
[django__django-12747] overlap 0/1: []
[psf__requests-1963] overlap 0/1: []
[django__django-15388] overlap 0/1: []
[django__django-12856] overlap 0/1: []
[sympy__sympy-23262] overlap 1/1: ['dedup_patch_26.jsonl']
[django__django-11999] overlap 1/1: ['dedup_patch_10.jsonl']
[sympy__sympy-23117] overlap 1/1: ['dedup_patch_2.jsonl']
[sphinx-doc__sphinx-11445] overlap 0/1: []
[django__django-12470] overlap 0/1: []
[django__django-11039] overlap 1/1: ['dedup_patch_10.jsonl']
[sympy__sympy-12481] overlap 1/1: ['dedup_patch_15.jsonl']
[pydata__xarray-4248] overlap 0/1: []
[sphinx-doc__sphinx-7686] overlap 0/1: []
[sympy__sympy-21379] overlap 0/1: []
[django__django-17051] overlap 1/1: ['dedup_patch_10.jsonl']
[django__django-11815] overlap 0/1: []
[scikit-learn__scikit-learn-13241] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-11742] overlap 0/1: []
[sympy__sympy-22714] overlap 1/1: ['dedup_patch_10.jsonl']
[django__django-11905] overlap 0/1: []
[django__django-15814] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-11179] overlap 1/1: ['dedup_patch_2.jsonl']
[matplotlib__matplotlib-24265] overlap 0/1: []

Saved results to run_repeated_ranks_seeds/lite_claude/all_repro_rerank_dd2eee14d967_seed2187185714/ranked.json
