Processing ranked directory: run_repeated_ranks_seeds/verified_claude/all_repro_rerank_88ee034de7cc_seed2382932842
[astropy__astropy-14508] overlap 1/1: ['dedup_patch_3.jsonl']
[django__django-12155] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-16136] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-16333] overlap 1/1: ['dedup_patch_2.jsonl']
[matplotlib__matplotlib-26113] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-23413] overlap 0/1: []
[django__django-14351] overlap 1/1: ['dedup_patch_6.jsonl']
[matplotlib__matplotlib-20676] overlap 1/1: ['dedup_patch_19.jsonl']
[django__django-11964] overlap 0/1: []
[sphinx-doc__sphinx-9698] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-16116] overlap 1/1: ['dedup_patch_0.jsonl']
[pydata__xarray-6992] overlap 0/1: []
[pytest-dev__pytest-5840] overlap 0/1: []
[django__django-17087] overlap 0/1: []
[django__django-11299] overlap 0/1: []
[scikit-learn__scikit-learn-14894] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-12663] overlap 0/1: []
[sympy__sympy-22080] overlap 0/1: []
[sympy__sympy-24562] overlap 0/1: []
[matplotlib__matplotlib-25332] overlap 0/1: []
[django__django-16901] overlap 0/1: []
[sympy__sympy-13031] overlap 0/1: []
[django__django-7530] overlap 1/1: ['dedup_patch_1.jsonl']
[sympy__sympy-15017] overlap 0/1: []
[sympy__sympy-13877] overlap 1/1: ['dedup_patch_3.jsonl']
[django__django-11138] overlap 0/1: []
[django__django-15103] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-14608] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-15930] overlap 1/1: ['dedup_patch_16.jsonl']
[django__django-16642] overlap 1/1: ['dedup_patch_4.jsonl']
[sympy__sympy-20801] overlap 1/1: ['dedup_patch_3.jsonl']
[matplotlib__matplotlib-25311] overlap 0/1: []
[sphinx-doc__sphinx-7910] overlap 1/1: ['dedup_patch_22.jsonl']
[django__django-14539] overlap 1/1: ['dedup_patch_25.jsonl']
[pydata__xarray-3677] overlap 1/1: ['dedup_patch_4.jsonl']
[django__django-16950] overlap 0/1: []
[matplotlib__matplotlib-24637] overlap 1/1: ['dedup_patch_22.jsonl']
[sympy__sympy-24539] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-11265] overlap 0/1: []
[django__django-12713] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-16877] overlap 1/1: ['dedup_patch_7.jsonl']
[sphinx-doc__sphinx-10435] overlap 0/1: []
[django__django-14771] overlap 1/1: ['dedup_patch_11.jsonl']
[django__django-11400] overlap 0/1: []
[astropy__astropy-14598] overlap 0/1: []
[django__django-14170] overlap 0/1: []
[sympy__sympy-13480] overlap 1/1: ['dedup_patch_0.jsonl']
[scikit-learn__scikit-learn-9288] overlap 1/1: ['dedup_patch_13.jsonl']
[pytest-dev__pytest-6202] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-9296] overlap 1/1: ['dedup_patch_2.jsonl']
[pylint-dev__pylint-4661] overlap 0/1: []
[django__django-16801] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-13128] overlap 0/1: []
[psf__requests-2317] overlap 1/1: ['dedup_patch_1.jsonl']
[sympy__sympy-12096] overlap 1/1: ['dedup_patch_19.jsonl']
[django__django-15563] overlap 0/1: []
[pytest-dev__pytest-5809] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-12708] overlap 1/1: ['dedup_patch_12.jsonl']
[sympy__sympy-24661] overlap 1/1: ['dedup_patch_23.jsonl']
[sphinx-doc__sphinx-8548] overlap 0/1: []
[sympy__sympy-17630] overlap 0/1: []
[scikit-learn__scikit-learn-14141] overlap 1/1: ['dedup_patch_0.jsonl']
[matplotlib__matplotlib-23412] overlap 1/1: ['dedup_patch_3.jsonl']
[django__django-15561] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-14155] overlap 0/1: []
[django__django-12308] overlap 0/1: []
[matplotlib__matplotlib-25479] overlap 0/1: []
[django__django-13195] overlap 0/1: []
[astropy__astropy-14369] overlap 0/1: []
[sympy__sympy-16766] overlap 1/1: ['dedup_patch_0.jsonl']
[matplotlib__matplotlib-25960] overlap 0/1: []
[django__django-13820] overlap 1/1: ['dedup_patch_13.jsonl']
[django__django-11099] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-13933] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-13343] overlap 1/1: ['dedup_patch_6.jsonl']
[sphinx-doc__sphinx-11510] overlap 0/1: []
[matplotlib__matplotlib-26466] overlap 0/1: []
[django__django-16100] overlap 1/1: ['dedup_patch_0.jsonl']
[sphinx-doc__sphinx-9673] overlap 1/1: ['dedup_patch_0.jsonl']
[psf__requests-6028] overlap 0/1: []
[pydata__xarray-3095] overlap 0/1: []
[sympy__sympy-18763] overlap 1/1: ['dedup_patch_5.jsonl']
[matplotlib__matplotlib-23314] overlap 1/1: ['dedup_patch_27.jsonl']
[django__django-10999] overlap 0/1: []
[django__django-11066] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-13590] overlap 0/1: []
[django__django-16819] overlap 1/1: ['dedup_patch_17.jsonl']
[django__django-14672] overlap 1/1: ['dedup_patch_0.jsonl']
[matplotlib__matplotlib-25287] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-13741] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-12273] overlap 1/1: ['dedup_patch_17.jsonl']
[matplotlib__matplotlib-23299] overlap 0/1: []
[matplotlib__matplotlib-25775] overlap 1/1: ['dedup_patch_34.jsonl']
[sphinx-doc__sphinx-7757] overlap 0/1: []
[django__django-16256] overlap 0/1: []
[django__django-16938] overlap 1/1: ['dedup_patch_23.jsonl']
[matplotlib__matplotlib-24970] overlap 1/1: ['dedup_patch_27.jsonl']
[sympy__sympy-16450] overlap 0/1: []
[django__django-16429] overlap 1/1: ['dedup_patch_0.jsonl']
[sphinx-doc__sphinx-9258] overlap 0/1: []
[django__django-15467] overlap 1/1: ['dedup_patch_3.jsonl']
[pylint-dev__pylint-7277] overlap 1/1: ['dedup_patch_3.jsonl']
[django__django-15569] overlap 1/1: ['dedup_patch_0.jsonl']
[sphinx-doc__sphinx-10673] overlap 0/1: []
[django__django-14752] overlap 1/1: ['dedup_patch_28.jsonl']
[django__django-13089] overlap 1/1: ['dedup_patch_3.jsonl']
[django__django-15863] overlap 1/1: ['dedup_patch_5.jsonl']
[matplotlib__matplotlib-26291] overlap 0/1: []
[django__django-11734] overlap 0/1: []
[sympy__sympy-12419] overlap 0/1: []
[django__django-14034] overlap 0/1: []
[sympy__sympy-24066] overlap 0/1: []
[django__django-13023] overlap 1/1: ['dedup_patch_9.jsonl']
[django__django-16661] overlap 0/1: []
[scikit-learn__scikit-learn-12973] overlap 1/1: ['dedup_patch_7.jsonl']
[django__django-15732] overlap 1/1: ['dedup_patch_16.jsonl']
[django__django-10554] overlap 0/1: []
[scikit-learn__scikit-learn-13328] overlap 1/1: ['dedup_patch_10.jsonl']
[django__django-14140] overlap 1/1: ['dedup_patch_4.jsonl']
[django__django-11477] overlap 0/1: []
[pydata__xarray-4094] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-13449] overlap 1/1: ['dedup_patch_4.jsonl']
[django__django-15037] overlap 0/1: []
[django__django-16631] overlap 0/1: []
[sphinx-doc__sphinx-7454] overlap 1/1: ['dedup_patch_2.jsonl']
[scikit-learn__scikit-learn-10908] overlap 0/1: []
[sympy__sympy-16886] overlap 1/1: ['dedup_patch_0.jsonl']
[pydata__xarray-6744] overlap 0/1: []
[django__django-16032] overlap 0/1: []
[sphinx-doc__sphinx-8056] overlap 0/1: []
[scikit-learn__scikit-learn-25232] overlap 1/1: ['dedup_patch_7.jsonl']
[sphinx-doc__sphinx-7590] overlap 0/1: []
[django__django-12741] overlap 0/1: []
[matplotlib__matplotlib-22865] overlap 1/1: ['dedup_patch_28.jsonl']
[astropy__astropy-13453] overlap 1/1: ['dedup_patch_9.jsonl']
[pydata__xarray-3993] overlap 0/1: []
[django__django-13033] overlap 0/1: []
[django__django-13512] overlap 0/1: []
[django__django-13401] overlap 1/1: ['dedup_patch_28.jsonl']
[sympy__sympy-13852] overlap 0/1: []
[django__django-15916] overlap 1/1: ['dedup_patch_16.jsonl']
[matplotlib__matplotlib-24870] overlap 0/1: []
[pylint-dev__pylint-4551] overlap 0/1: []
[sympy__sympy-14531] overlap 1/1: ['dedup_patch_12.jsonl']
[pydata__xarray-6721] overlap 0/1: []
[django__django-16454] overlap 0/1: []
[psf__requests-2931] overlap 1/1: ['dedup_patch_1.jsonl']
[sympy__sympy-18698] overlap 0/1: []
[scikit-learn__scikit-learn-15100] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-15809] overlap 1/1: ['dedup_patch_10.jsonl']
[scikit-learn__scikit-learn-13124] overlap 0/1: []
[django__django-14534] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-11749] overlap 1/1: ['dedup_patch_4.jsonl']
[django__django-14311] overlap 0/1: []
[pydata__xarray-3151] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-12406] overlap 0/1: []
[pydata__xarray-4695] overlap 0/1: []
[django__django-13112] overlap 0/1: []
[matplotlib__matplotlib-24026] overlap 1/1: ['dedup_patch_16.jsonl']
[django__django-10880] overlap 1/1: ['dedup_patch_8.jsonl']
[sympy__sympy-15345] overlap 0/1: []
[django__django-15280] overlap 0/1: []
[sphinx-doc__sphinx-8595] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-15278] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-15731] overlap 1/1: ['dedup_patch_4.jsonl']
[sphinx-doc__sphinx-8120] overlap 1/1: ['dedup_patch_24.jsonl']
[scikit-learn__scikit-learn-13135] overlap 1/1: ['dedup_patch_6.jsonl']
[matplotlib__matplotlib-13989] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-14631] overlap 0/1: []
[django__django-11603] overlap 1/1: ['dedup_patch_0.jsonl']
[pydata__xarray-6938] overlap 0/1: []
[matplotlib__matplotlib-24149] overlap 1/1: ['dedup_patch_7.jsonl']
[django__django-11149] overlap 1/1: ['dedup_patch_20.jsonl']
[pytest-dev__pytest-5787] overlap 0/1: []
[django__django-12858] overlap 1/1: ['dedup_patch_0.jsonl']
[pytest-dev__pytest-7236] overlap 1/1: ['dedup_patch_11.jsonl']
[pytest-dev__pytest-7490] overlap 1/1: ['dedup_patch_32.jsonl']
[django__django-13837] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-13315] overlap 1/1: ['dedup_patch_2.jsonl']
[scikit-learn__scikit-learn-26323] overlap 1/1: ['dedup_patch_12.jsonl']
[django__django-15503] overlap 0/1: []
[django__django-13568] overlap 0/1: []
[scikit-learn__scikit-learn-13496] overlap 1/1: ['dedup_patch_8.jsonl']
[sympy__sympy-20428] overlap 0/1: []
[sympy__sympy-17318] overlap 1/1: ['dedup_patch_11.jsonl']
[django__django-14017] overlap 1/1: ['dedup_patch_21.jsonl']
[django__django-14315] overlap 0/1: []
[django__django-13821] overlap 1/1: ['dedup_patch_0.jsonl']
[scikit-learn__scikit-learn-13779] overlap 1/1: ['dedup_patch_3.jsonl']
[django__django-14434] overlap 1/1: ['dedup_patch_8.jsonl']
[sphinx-doc__sphinx-7440] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-16139] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-14053] overlap 1/1: ['dedup_patch_23.jsonl']
[sphinx-doc__sphinx-10466] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-11555] overlap 0/1: []
[sympy__sympy-13757] overlap 0/1: []
[scikit-learn__scikit-learn-10844] overlap 1/1: ['dedup_patch_0.jsonl']
[sphinx-doc__sphinx-8551] overlap 0/1: []
[django__django-15382] overlap 1/1: ['dedup_patch_12.jsonl']
[sympy__sympy-19637] overlap 1/1: ['dedup_patch_4.jsonl']
[django__django-15695] overlap 0/1: []
[django__django-13551] overlap 0/1: []
[django__django-13344] overlap 0/1: []
[psf__requests-1766] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-13346] overlap 0/1: []
[django__django-15127] overlap 0/1: []
[astropy__astropy-14182] overlap 0/1: []
[matplotlib__matplotlib-14623] overlap 0/1: []
[django__django-13670] overlap 1/1: ['dedup_patch_1.jsonl']
[sphinx-doc__sphinx-8593] overlap 0/1: []
[scikit-learn__scikit-learn-12682] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-17655] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-15599] overlap 0/1: []
[django__django-15987] overlap 1/1: ['dedup_patch_9.jsonl']
[django__django-13158] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-14248] overlap 0/1: []
[django__django-15268] overlap 0/1: []
[sphinx-doc__sphinx-10614] overlap 0/1: []
[django__django-11740] overlap 1/1: ['dedup_patch_27.jsonl']
[scikit-learn__scikit-learn-14496] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-15851] overlap 1/1: ['dedup_patch_0.jsonl']
[sphinx-doc__sphinx-10449] overlap 1/1: ['dedup_patch_29.jsonl']
[sympy__sympy-20916] overlap 0/1: []
[django__django-14376] overlap 0/1: []
[scikit-learn__scikit-learn-26194] overlap 0/1: []
[django__django-16527] overlap 1/1: ['dedup_patch_1.jsonl']
[sympy__sympy-12489] overlap 0/1: []
[django__django-12325] overlap 1/1: ['dedup_patch_4.jsonl']
[django__django-11095] overlap 1/1: ['dedup_patch_5.jsonl']
[scikit-learn__scikit-learn-11578] overlap 1/1: ['dedup_patch_10.jsonl']
[django__django-12039] overlap 0/1: []
[sphinx-doc__sphinx-7985] overlap 0/1: []
[django__django-11551] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-16493] overlap 1/1: ['dedup_patch_3.jsonl']
[sympy__sympy-22456] overlap 1/1: ['dedup_patch_18.jsonl']
[django__django-13406] overlap 1/1: ['dedup_patch_9.jsonl']
[psf__requests-1921] overlap 1/1: ['dedup_patch_3.jsonl']
[django__django-12754] overlap 0/1: []
[django__django-17029] overlap 1/1: ['dedup_patch_0.jsonl']
[sphinx-doc__sphinx-8621] overlap 0/1: []
[django__django-13513] overlap 0/1: []
[sympy__sympy-15875] overlap 1/1: ['dedup_patch_11.jsonl']
[django__django-13121] overlap 0/1: []
[sphinx-doc__sphinx-10323] overlap 1/1: ['dedup_patch_16.jsonl']
[django__django-11790] overlap 0/1: []
[django__django-15098] overlap 0/1: []
[sphinx-doc__sphinx-8269] overlap 1/1: ['dedup_patch_12.jsonl']
[django__django-12276] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-13279] overlap 1/1: ['dedup_patch_2.jsonl']
[pytest-dev__pytest-7521] overlap 0/1: []
[sympy__sympy-15349] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-11141] overlap 0/1: []
[django__django-15957] overlap 0/1: []
[django__django-11119] overlap 1/1: ['dedup_patch_0.jsonl']
[pytest-dev__pytest-8399] overlap 1/1: ['dedup_patch_0.jsonl']
[pytest-dev__pytest-7205] overlap 1/1: ['dedup_patch_1.jsonl']
[matplotlib__matplotlib-23476] overlap 0/1: []
[django__django-11820] overlap 0/1: []
[sphinx-doc__sphinx-8638] overlap 0/1: []
[django__django-15161] overlap 0/1: []
[sympy__sympy-19040] overlap 0/1: []
[django__django-14493] overlap 1/1: ['dedup_patch_1.jsonl']
[sphinx-doc__sphinx-9367] overlap 1/1: ['dedup_patch_4.jsonl']
[sphinx-doc__sphinx-9591] overlap 0/1: []
[sympy__sympy-20154] overlap 1/1: ['dedup_patch_3.jsonl']
[astropy__astropy-8872] overlap 0/1: []
[astropy__astropy-13033] overlap 0/1: []
[pydata__xarray-4966] overlap 1/1: ['dedup_patch_4.jsonl']
[sympy__sympy-13798] overlap 0/1: []
[django__django-14559] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-11848] overlap 0/1: []
[django__django-13809] overlap 1/1: ['dedup_patch_4.jsonl']
[pylint-dev__pylint-7080] overlap 0/1: []
[sympy__sympy-20438] overlap 0/1: []
[django__django-11885] overlap 0/1: []
[django__django-11087] overlap 0/1: []
[django__django-16560] overlap 0/1: []
[django__django-15499] overlap 1/1: ['dedup_patch_0.jsonl']
[scikit-learn__scikit-learn-13142] overlap 1/1: ['dedup_patch_6.jsonl']
[sphinx-doc__sphinx-8265] overlap 0/1: []
[astropy__astropy-13398] overlap 0/1: []
[pydata__xarray-7233] overlap 1/1: ['dedup_patch_5.jsonl']
[django__django-16595] overlap 1/1: ['dedup_patch_0.jsonl']
[astropy__astropy-8707] overlap 0/1: []
[astropy__astropy-14096] overlap 1/1: ['dedup_patch_1.jsonl']
[astropy__astropy-14309] overlap 1/1: ['dedup_patch_1.jsonl']
[scikit-learn__scikit-learn-25102] overlap 1/1: ['dedup_patch_15.jsonl']
[scikit-learn__scikit-learn-14053] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-16315] overlap 0/1: []
[django__django-12965] overlap 0/1: []
[django__django-16255] overlap 1/1: ['dedup_patch_0.jsonl']
[mwaskom__seaborn-3069] overlap 0/1: []
[django__django-16082] overlap 0/1: []
[pydata__xarray-4687] overlap 0/1: []
[django__django-14238] overlap 1/1: ['dedup_patch_3.jsonl']
[django__django-11206] overlap 1/1: ['dedup_patch_8.jsonl']
[django__django-12209] overlap 1/1: ['dedup_patch_1.jsonl']
[sphinx-doc__sphinx-9229] overlap 0/1: []
[pylint-dev__pylint-6903] overlap 1/1: ['dedup_patch_4.jsonl']
[django__django-15525] overlap 1/1: ['dedup_patch_4.jsonl']
[astropy__astropy-14365] overlap 0/1: []
[mwaskom__seaborn-3187] overlap 0/1: []
[astropy__astropy-7606] overlap 0/1: []
[sympy__sympy-11618] overlap 1/1: ['dedup_patch_3.jsonl']
[matplotlib__matplotlib-20488] overlap 0/1: []
[django__django-13410] overlap 1/1: ['dedup_patch_0.jsonl']
[sphinx-doc__sphinx-9658] overlap 0/1: []
[django__django-13028] overlap 1/1: ['dedup_patch_16.jsonl']
[sympy__sympy-18211] overlap 0/1: []
[astropy__astropy-7166] overlap 1/1: ['dedup_patch_0.jsonl']
[pydata__xarray-2905] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-11163] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-15629] overlap 0/1: []
[django__django-13109] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-14007] overlap 0/1: []
[pydata__xarray-4075] overlap 1/1: ['dedup_patch_9.jsonl']
[django__django-13925] overlap 0/1: []
[django__django-11211] overlap 1/1: ['dedup_patch_13.jsonl']
[sympy__sympy-14711] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-14792] overlap 0/1: []
[django__django-14500] overlap 0/1: []
[sympy__sympy-13551] overlap 0/1: []
[django__django-12193] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-16569] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-19346] overlap 1/1: ['dedup_patch_9.jsonl']
[django__django-11532] overlap 1/1: ['dedup_patch_15.jsonl']
[django__django-14855] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-21612] overlap 0/1: []
[django__django-13786] overlap 1/1: ['dedup_patch_1.jsonl']
[pylint-dev__pylint-4970] overlap 0/1: []
[matplotlib__matplotlib-20826] overlap 0/1: []
[sympy__sympy-22914] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-12050] overlap 0/1: []
[matplotlib__matplotlib-24627] overlap 1/1: ['dedup_patch_25.jsonl']
[scikit-learn__scikit-learn-10297] overlap 1/1: ['dedup_patch_1.jsonl']
[pytest-dev__pytest-5262] overlap 1/1: ['dedup_patch_22.jsonl']
[pallets__flask-5014] overlap 1/1: ['dedup_patch_5.jsonl']
[sphinx-doc__sphinx-7462] overlap 0/1: []
[sympy__sympy-19783] overlap 0/1: []
[django__django-16263] overlap 0/1: []
[django__django-11276] overlap 1/1: ['dedup_patch_5.jsonl']
[django__django-16145] overlap 1/1: ['dedup_patch_6.jsonl']
[pytest-dev__pytest-6197] overlap 0/1: []
[django__django-11433] overlap 0/1: []
[sphinx-doc__sphinx-7748] overlap 0/1: []
[matplotlib__matplotlib-20859] overlap 0/1: []
[django__django-13658] overlap 1/1: ['dedup_patch_0.jsonl']
[matplotlib__matplotlib-21568] overlap 0/1: []
[matplotlib__matplotlib-22871] overlap 0/1: []
[sympy__sympy-15976] overlap 0/1: []
[matplotlib__matplotlib-24570] overlap 1/1: ['dedup_patch_3.jsonl']
[sympy__sympy-24213] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-10973] overlap 1/1: ['dedup_patch_5.jsonl']
[sympy__sympy-18189] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-16792] overlap 0/1: []
[django__django-14089] overlap 1/1: ['dedup_patch_0.jsonl']
[scikit-learn__scikit-learn-11310] overlap 1/1: ['dedup_patch_4.jsonl']
[sphinx-doc__sphinx-8475] overlap 0/1: []
[sympy__sympy-18199] overlap 0/1: []
[django__django-14725] overlap 0/1: []
[sympy__sympy-20590] overlap 0/1: []
[sympy__sympy-13091] overlap 0/1: []
[astropy__astropy-14995] overlap 1/1: ['dedup_patch_24.jsonl']
[django__django-16612] overlap 1/1: ['dedup_patch_5.jsonl']
[django__django-15375] overlap 0/1: []
[sympy__sympy-21847] overlap 1/1: ['dedup_patch_8.jsonl']
[psf__requests-5414] overlap 0/1: []
[django__django-12774] overlap 1/1: ['dedup_patch_6.jsonl']
[django__django-15368] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-23950] overlap 1/1: ['dedup_patch_8.jsonl']
[django__django-14787] overlap 1/1: ['dedup_patch_26.jsonl']
[django__django-15104] overlap 1/1: ['dedup_patch_0.jsonl']
[pydata__xarray-7393] overlap 1/1: ['dedup_patch_11.jsonl']
[django__django-13516] overlap 1/1: ['dedup_patch_8.jsonl']
[django__django-16485] overlap 1/1: ['dedup_patch_20.jsonl']
[django__django-11880] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-16662] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-13964] overlap 0/1: []
[sympy__sympy-13974] overlap 0/1: []
[django__django-10914] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-12304] overlap 0/1: []
[scikit-learn__scikit-learn-14629] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-14580] overlap 0/1: []
[psf__requests-1724] overlap 1/1: ['dedup_patch_3.jsonl']
[pytest-dev__pytest-5631] overlap 1/1: ['dedup_patch_2.jsonl']
[scikit-learn__scikit-learn-12585] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-12419] overlap 1/1: ['dedup_patch_0.jsonl']
[astropy__astropy-12907] overlap 1/1: ['dedup_patch_8.jsonl']
[matplotlib__matplotlib-25122] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-11951] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-13810] overlap 1/1: ['dedup_patch_2.jsonl']
[matplotlib__matplotlib-26342] overlap 1/1: ['dedup_patch_27.jsonl']
[pydata__xarray-4356] overlap 1/1: ['dedup_patch_16.jsonl']
[matplotlib__matplotlib-24177] overlap 0/1: []
[django__django-12125] overlap 0/1: []
[django__django-10097] overlap 1/1: ['dedup_patch_18.jsonl']
[pydata__xarray-4629] overlap 1/1: ['dedup_patch_0.jsonl']
[astropy__astropy-14539] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-13569] overlap 1/1: ['dedup_patch_12.jsonl']
[pydata__xarray-6461] overlap 1/1: ['dedup_patch_6.jsonl']
[pytest-dev__pytest-10356] overlap 0/1: []
[django__django-17084] overlap 0/1: []
[scikit-learn__scikit-learn-25931] overlap 1/1: ['dedup_patch_12.jsonl']
[django__django-11133] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-14915] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-14999] overlap 0/1: []
[django__django-11490] overlap 0/1: []
[django__django-15252] overlap 0/1: []
[sympy__sympy-23534] overlap 1/1: ['dedup_patch_0.jsonl']
[sphinx-doc__sphinx-9230] overlap 0/1: []
[django__django-13212] overlap 0/1: []
[pylint-dev__pylint-6386] overlap 0/1: []
[sphinx-doc__sphinx-9711] overlap 1/1: ['dedup_patch_13.jsonl']
[sympy__sympy-13878] overlap 0/1: []
[django__django-12143] overlap 1/1: ['dedup_patch_0.jsonl']
[scikit-learn__scikit-learn-14087] overlap 0/1: []
[pytest-dev__pytest-7432] overlap 1/1: ['dedup_patch_8.jsonl']
[django__django-15973] overlap 0/1: []
[pytest-dev__pytest-7324] overlap 0/1: []
[astropy__astropy-13977] overlap 0/1: []
[pydata__xarray-6599] overlap 1/1: ['dedup_patch_0.jsonl']
[pylint-dev__pylint-4604] overlap 0/1: []
[django__django-14404] overlap 0/1: []
[sphinx-doc__sphinx-8721] overlap 1/1: ['dedup_patch_2.jsonl']
[sympy__sympy-17139] overlap 1/1: ['dedup_patch_1.jsonl']
[astropy__astropy-7336] overlap 1/1: ['dedup_patch_3.jsonl']
[django__django-13794] overlap 0/1: []
[pydata__xarray-3305] overlap 1/1: ['dedup_patch_8.jsonl']
[django__django-11451] overlap 1/1: ['dedup_patch_1.jsonl']
[pytest-dev__pytest-10081] overlap 1/1: ['dedup_patch_10.jsonl']
[scikit-learn__scikit-learn-14710] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-13615] overlap 0/1: []
[sympy__sympy-23262] overlap 1/1: ['dedup_patch_22.jsonl']
[django__django-11999] overlap 1/1: ['dedup_patch_11.jsonl']
[sympy__sympy-14976] overlap 0/1: []
[sphinx-doc__sphinx-9602] overlap 0/1: []
