Processing ranked directory: final_ranks_verified_gpt4o/all_repro_rerank_20250926_020103
[django__django-12713] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-16877] overlap 1/1: ['dedup_patch_5.jsonl']
[django__django-14771] overlap 0/1: []
[sympy__sympy-13480] overlap 1/1: ['dedup_patch_2.jsonl']
[scikit-learn__scikit-learn-9288] overlap 1/1: ['dedup_patch_23.jsonl']
[pytest-dev__pytest-6202] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-9296] overlap 1/1: ['dedup_patch_7.jsonl']
[django__django-16801] overlap 1/1: ['dedup_patch_8.jsonl']
[psf__requests-2317] overlap 1/1: ['dedup_patch_4.jsonl']
[sympy__sympy-12096] overlap 1/1: ['dedup_patch_1.jsonl']
[pytest-dev__pytest-5809] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-12708] overlap 1/1: ['dedup_patch_19.jsonl']
[scikit-learn__scikit-learn-14141] overlap 1/1: ['dedup_patch_0.jsonl']
[matplotlib__matplotlib-23412] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-15561] overlap 1/1: ['dedup_patch_1.jsonl']
[sympy__sympy-16766] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-13820] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-11099] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-13933] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-16100] overlap 0/1: []
[sympy__sympy-18763] overlap 1/1: ['dedup_patch_3.jsonl']
[django__django-11066] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-16819] overlap 1/1: ['dedup_patch_4.jsonl']
[django__django-13741] overlap 1/1: ['dedup_patch_4.jsonl']
[matplotlib__matplotlib-25775] overlap 0/1: []
[django__django-16938] overlap 1/1: ['dedup_patch_2.jsonl']
[matplotlib__matplotlib-24970] overlap 1/1: ['dedup_patch_7.jsonl']
[django__django-16429] overlap 1/1: ['dedup_patch_3.jsonl']
[django__django-15467] overlap 1/1: ['dedup_patch_0.jsonl']
[pylint-dev__pylint-7277] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-15569] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-14752] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-13089] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-15863] overlap 1/1: ['dedup_patch_4.jsonl']
[matplotlib__matplotlib-26291] overlap 1/1: ['dedup_patch_18.jsonl']
[sympy__sympy-24066] overlap 1/1: ['dedup_patch_11.jsonl']
[scikit-learn__scikit-learn-12973] overlap 0/1: []
[scikit-learn__scikit-learn-13328] overlap 1/1: ['dedup_patch_21.jsonl']
[django__django-14140] overlap 0/1: []
[django__django-13449] overlap 0/1: []
[django__django-15037] overlap 0/1: []
[scikit-learn__scikit-learn-10908] overlap 1/1: ['dedup_patch_24.jsonl']
[sympy__sympy-16886] overlap 1/1: ['dedup_patch_0.jsonl']
[pydata__xarray-6744] overlap 0/1: []
[scikit-learn__scikit-learn-25232] overlap 1/1: ['dedup_patch_5.jsonl']
[matplotlib__matplotlib-22865] overlap 0/1: []
[astropy__astropy-13453] overlap 1/1: ['dedup_patch_33.jsonl']
[django__django-15916] overlap 1/1: ['dedup_patch_14.jsonl']
[sympy__sympy-14531] overlap 1/1: ['dedup_patch_5.jsonl']
[pydata__xarray-6721] overlap 0/1: []
[django__django-16454] overlap 1/1: ['dedup_patch_29.jsonl']
[psf__requests-2931] overlap 1/1: ['dedup_patch_3.jsonl']
[scikit-learn__scikit-learn-15100] overlap 1/1: ['dedup_patch_0.jsonl']
[scikit-learn__scikit-learn-13124] overlap 0/1: []
[django__django-11749] overlap 1/1: ['dedup_patch_25.jsonl']
[pydata__xarray-3151] overlap 1/1: ['dedup_patch_12.jsonl']
[pydata__xarray-4695] overlap 1/1: ['dedup_patch_22.jsonl']
[matplotlib__matplotlib-24026] overlap 1/1: ['dedup_patch_28.jsonl']
[django__django-10880] overlap 1/1: ['dedup_patch_29.jsonl']
[sphinx-doc__sphinx-8595] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-15278] overlap 1/1: ['dedup_patch_11.jsonl']
[django__django-15731] overlap 1/1: ['dedup_patch_0.jsonl']
[scikit-learn__scikit-learn-13135] overlap 1/1: ['dedup_patch_1.jsonl']
[matplotlib__matplotlib-13989] overlap 1/1: ['dedup_patch_7.jsonl']
[django__django-11603] overlap 1/1: ['dedup_patch_2.jsonl']
[matplotlib__matplotlib-24149] overlap 1/1: ['dedup_patch_11.jsonl']
[pytest-dev__pytest-7236] overlap 1/1: ['dedup_patch_13.jsonl']
[django__django-13837] overlap 1/1: ['dedup_patch_10.jsonl']
[django__django-13315] overlap 1/1: ['dedup_patch_1.jsonl']
[scikit-learn__scikit-learn-26323] overlap 1/1: ['dedup_patch_5.jsonl']
[scikit-learn__scikit-learn-13496] overlap 1/1: ['dedup_patch_5.jsonl']
[django__django-13821] overlap 1/1: ['dedup_patch_0.jsonl']
[scikit-learn__scikit-learn-13779] overlap 1/1: ['dedup_patch_13.jsonl']
[django__django-16139] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-14053] overlap 1/1: ['dedup_patch_2.jsonl']
[sphinx-doc__sphinx-10466] overlap 1/1: ['dedup_patch_10.jsonl']
[django__django-11555] overlap 1/1: ['dedup_patch_15.jsonl']
[scikit-learn__scikit-learn-10844] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-15382] overlap 0/1: []
[sympy__sympy-19637] overlap 1/1: ['dedup_patch_0.jsonl']
[psf__requests-1766] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-13670] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-17655] overlap 0/1: []
[django__django-15987] overlap 1/1: ['dedup_patch_9.jsonl']
[scikit-learn__scikit-learn-14496] overlap 1/1: ['dedup_patch_0.jsonl']
[sphinx-doc__sphinx-10449] overlap 1/1: ['dedup_patch_10.jsonl']
[django__django-16527] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-12325] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-11095] overlap 1/1: ['dedup_patch_29.jsonl']
[scikit-learn__scikit-learn-11578] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-12039] overlap 0/1: []
[django__django-11551] overlap 1/1: ['dedup_patch_3.jsonl']
[django__django-16493] overlap 1/1: ['dedup_patch_21.jsonl']
[sympy__sympy-22456] overlap 1/1: ['dedup_patch_27.jsonl']
[psf__requests-1921] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-17029] overlap 1/1: ['dedup_patch_1.jsonl']
[sympy__sympy-15875] overlap 1/1: ['dedup_patch_7.jsonl']
[django__django-11790] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-15098] overlap 0/1: []
[sphinx-doc__sphinx-8269] overlap 1/1: ['dedup_patch_17.jsonl']
[django__django-12276] overlap 1/1: ['dedup_patch_10.jsonl']
[django__django-13279] overlap 1/1: ['dedup_patch_12.jsonl']
[sympy__sympy-15349] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-11119] overlap 1/1: ['dedup_patch_0.jsonl']
[pytest-dev__pytest-8399] overlap 1/1: ['dedup_patch_0.jsonl']
[pytest-dev__pytest-7205] overlap 0/1: []
[django__django-15161] overlap 1/1: ['dedup_patch_9.jsonl']
[sympy__sympy-19040] overlap 1/1: ['dedup_patch_15.jsonl']
[django__django-14493] overlap 1/1: ['dedup_patch_5.jsonl']
[sphinx-doc__sphinx-9367] overlap 1/1: ['dedup_patch_4.jsonl']
[sympy__sympy-20154] overlap 1/1: ['dedup_patch_4.jsonl']
[pydata__xarray-4966] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-11848] overlap 1/1: ['dedup_patch_11.jsonl']
[django__django-13809] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-15499] overlap 1/1: ['dedup_patch_2.jsonl']
[scikit-learn__scikit-learn-13142] overlap 1/1: ['dedup_patch_21.jsonl']
[django__django-16595] overlap 1/1: ['dedup_patch_1.jsonl']
[astropy__astropy-14096] overlap 1/1: ['dedup_patch_7.jsonl']
[astropy__astropy-14309] overlap 1/1: ['dedup_patch_4.jsonl']
[scikit-learn__scikit-learn-14053] overlap 1/1: ['dedup_patch_4.jsonl']
[django__django-16255] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-16082] overlap 1/1: ['dedup_patch_13.jsonl']
[django__django-14238] overlap 1/1: ['dedup_patch_10.jsonl']
[django__django-11206] overlap 1/1: ['dedup_patch_20.jsonl']
[django__django-12209] overlap 1/1: ['dedup_patch_8.jsonl']
[pylint-dev__pylint-6903] overlap 1/1: ['dedup_patch_14.jsonl']
[django__django-15525] overlap 0/1: []
[sympy__sympy-11618] overlap 1/1: ['dedup_patch_12.jsonl']
[matplotlib__matplotlib-20488] overlap 1/1: ['dedup_patch_29.jsonl']
[django__django-13410] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-13028] overlap 0/1: []
[astropy__astropy-7166] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-11163] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-13109] overlap 1/1: ['dedup_patch_0.jsonl']
[pydata__xarray-4075] overlap 1/1: ['dedup_patch_7.jsonl']
[django__django-13925] overlap 0/1: []
[django__django-11211] overlap 0/1: []
[sympy__sympy-14711] overlap 1/1: ['dedup_patch_4.jsonl']
[django__django-14500] overlap 1/1: ['dedup_patch_29.jsonl']
[django__django-12193] overlap 0/1: []
[django__django-16569] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-19346] overlap 1/1: ['dedup_patch_9.jsonl']
[django__django-11532] overlap 0/1: []
[django__django-14855] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-13786] overlap 1/1: ['dedup_patch_7.jsonl']
[pylint-dev__pylint-4970] overlap 0/1: []
[sympy__sympy-22914] overlap 1/1: ['dedup_patch_3.jsonl']
[scikit-learn__scikit-learn-10297] overlap 1/1: ['dedup_patch_14.jsonl']
[pytest-dev__pytest-5262] overlap 1/1: ['dedup_patch_6.jsonl']
[pallets__flask-5014] overlap 1/1: ['dedup_patch_10.jsonl']
[django__django-11276] overlap 1/1: ['dedup_patch_17.jsonl']
[django__django-16145] overlap 1/1: ['dedup_patch_17.jsonl']
[django__django-13658] overlap 1/1: ['dedup_patch_1.jsonl']
[matplotlib__matplotlib-24570] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-24213] overlap 1/1: ['dedup_patch_3.jsonl']
[django__django-10973] overlap 1/1: ['dedup_patch_26.jsonl']
[sympy__sympy-18189] overlap 1/1: ['dedup_patch_27.jsonl']
[django__django-14089] overlap 1/1: ['dedup_patch_6.jsonl']
[scikit-learn__scikit-learn-11310] overlap 1/1: ['dedup_patch_3.jsonl']
[django__django-16612] overlap 1/1: ['dedup_patch_7.jsonl']
[sympy__sympy-21847] overlap 1/1: ['dedup_patch_7.jsonl']
[django__django-15368] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-23950] overlap 1/1: ['dedup_patch_17.jsonl']
[django__django-14787] overlap 1/1: ['dedup_patch_14.jsonl']
[django__django-15104] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-13516] overlap 1/1: ['dedup_patch_6.jsonl']
[django__django-16485] overlap 1/1: ['dedup_patch_9.jsonl']
[django__django-11880] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-16662] overlap 1/1: ['dedup_patch_25.jsonl']
[django__django-13964] overlap 1/1: ['dedup_patch_3.jsonl']
[sympy__sympy-13974] overlap 1/1: ['dedup_patch_11.jsonl']
[django__django-10914] overlap 1/1: ['dedup_patch_0.jsonl']
[psf__requests-1724] overlap 1/1: ['dedup_patch_3.jsonl']
[pytest-dev__pytest-5631] overlap 1/1: ['dedup_patch_16.jsonl']
[scikit-learn__scikit-learn-12585] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-12419] overlap 1/1: ['dedup_patch_0.jsonl']
[astropy__astropy-12907] overlap 1/1: ['dedup_patch_10.jsonl']
[matplotlib__matplotlib-25122] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-13810] overlap 1/1: ['dedup_patch_23.jsonl']
[matplotlib__matplotlib-26342] overlap 1/1: ['dedup_patch_6.jsonl']
[pydata__xarray-4356] overlap 1/1: ['dedup_patch_20.jsonl']
[django__django-10097] overlap 1/1: ['dedup_patch_12.jsonl']
[pydata__xarray-4629] overlap 1/1: ['dedup_patch_0.jsonl']
[astropy__astropy-14539] overlap 1/1: ['dedup_patch_18.jsonl']
[django__django-13569] overlap 0/1: []
[pydata__xarray-6461] overlap 1/1: ['dedup_patch_6.jsonl']
[django__django-17084] overlap 0/1: []
[scikit-learn__scikit-learn-25931] overlap 1/1: ['dedup_patch_31.jsonl']
[django__django-11133] overlap 1/1: ['dedup_patch_18.jsonl']
[django__django-14915] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-14999] overlap 1/1: ['dedup_patch_5.jsonl']
[sympy__sympy-23534] overlap 1/1: ['dedup_patch_15.jsonl']
[sphinx-doc__sphinx-9711] overlap 1/1: ['dedup_patch_16.jsonl']
[django__django-12143] overlap 1/1: ['dedup_patch_0.jsonl']
[pytest-dev__pytest-7432] overlap 1/1: ['dedup_patch_17.jsonl']
[sphinx-doc__sphinx-8721] overlap 1/1: ['dedup_patch_12.jsonl']
[astropy__astropy-7336] overlap 1/1: ['dedup_patch_3.jsonl']
[django__django-11451] overlap 1/1: ['dedup_patch_2.jsonl']
[pytest-dev__pytest-10081] overlap 1/1: ['dedup_patch_7.jsonl']
[sympy__sympy-14976] overlap 1/1: ['dedup_patch_26.jsonl']
[pytest-dev__pytest-7571] overlap 1/1: ['dedup_patch_25.jsonl']
[django__django-14373] overlap 1/1: ['dedup_patch_0.jsonl']
[pylint-dev__pylint-8898] overlap 0/1: []
[django__django-15741] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-13417] overlap 1/1: ['dedup_patch_12.jsonl']
[sympy__sympy-12481] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-11333] overlap 1/1: ['dedup_patch_11.jsonl']
[sympy__sympy-19495] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-15380] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-14765] overlap 1/1: ['dedup_patch_10.jsonl']
[sympy__sympy-23824] overlap 1/1: ['dedup_patch_8.jsonl']
[django__django-11815] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-22714] overlap 1/1: ['dedup_patch_7.jsonl']
[sympy__sympy-13372] overlap 1/1: ['dedup_patch_4.jsonl']
[django__django-15814] overlap 1/1: ['dedup_patch_5.jsonl']
[matplotlib__matplotlib-22719] overlap 1/1: ['dedup_patch_12.jsonl']
[django__django-11179] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-16899] overlap 1/1: ['dedup_patch_6.jsonl']
[sympy__sympy-24443] overlap 1/1: ['dedup_patch_20.jsonl']
[pytest-dev__pytest-10051] overlap 1/1: ['dedup_patch_13.jsonl']

Saved results to final_ranks_verified_gpt4o/all_repro_rerank_20250926_020103/ranked.json
